query_product,query_leaf_category,precision@5,recall,average_precision
Solemio Sleeveless Solid Men's Reversible Sweatshirt,sweatshirts,1.0,0.08333333333333333,1.0
Voylla Fabric Necklace,necklaces,1.0,0.003961965134706815,1.0
Waltz 382 Loafers,loafers,1.0,0.053763440860215055,1.0
Viral Shopping Steering Cover For Skoda Rapid,steering covers,1.0,0.625,1.0
Shreewardhan Decor Beautifully Designed Glossy Finish Different Size Plant Container Set,plant container sets,1.0,0.018726591760299626,1.0
Madaam Organic Cotton Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Shopatplaces Printed Women's Broomstick Skirt,skirts,1.0,0.11363636363636363,1.0
"Tullis Women's Purple, Pink, Green, Blue, Red, Black Leggings",women purple pink green blue red,1.0,0.0010113268608414239,1.0
HomeeHub Polyester Multicolor Self Design Eyelet Door Curtain,curtains,1.0,0.049019607843137254,1.0
Prithish Diwali Design7 Double Color Ceramic Mug,coffee mugs,1.0,0.02512562814070352,1.0
SHOPOJ Blue Paper Sky Lantern,blue paper sky lantern 80 cm 34 cm pa,1.0,0.006711409395973154,1.0
Masterhandicraft Brass Decorative Platter,decorative platters,1.0,0.625,1.0
Candy House Solid Men's Polo Neck T-Shirt,solid men polo neck shirt pack,1.0,0.2,1.0
Dressberry Gold Synthetic  Clutch,gold synthetic clutch,0.6,1.0,1.0
L'Elegantae Women's Solid Casual Shirt,shirts,1.0,0.004105090311986864,1.0
Vtc Thumb Up Mobile Stand (Pink),car mobile holders,1.0,0.16129032258064516,1.0
Megaway 196.85 inch White Rice Lights,series lights,1.0,0.10638297872340426,1.0
DivineXt Flexible Electronic Laptop Cooling Fan DI-111 USB USB Fan,usb gadgets,1.0,0.04132231404958678,1.0
Allure Auto CM 854 Car Mat Chevrolet Beat,car mats,1.0,0.01160092807424594,1.0
Radiant Bay Three Layer White Gold Diamond 18 K Ring,rings,1.0,0.008635578583765112,1.0
ARRA Engineered Wood 6 Seater Sofa,sofas sectionals,1.0,0.12195121951219512,1.0
Leppy Metal Bracelet,bracelets,1.0,0.02577319587628866,1.0
"Park Avenue Alpha Deodorant ,9 to 5 EDP Combo Set",combos,1.0,0.016181229773462782,1.0
Jocalia Style diva Metal Necklace,necklaces,1.0,0.003961965134706815,1.0
Urdiva Fashions Crystal Necklace,necklaces,1.0,0.003961965134706815,1.0
Anand's Guru Feather Shuttle  - White,guru feather shuttle white medium,1.0,0.037037037037037035,1.0
"UpTown Metal, Alloy Necklace",necklaces,1.0,0.003961965134706815,1.0
Lovinoform Latest Comfortable Stylist Non Padded Green Cotton Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Glus Frontopen Women's Push-up Bra,bras,1.0,0.006273525721455458,1.0
Fundoo T Printed Men's Track Suit,track suits,1.0,0.0010113268608414239,1.0
Zet Zone Fashionable Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Gravolite Meditation Yoga Blocks,yoga blocks,1.0,0.037037037037037035,1.0
TRESemme Naturals Vibrantly Smooth Shampoo,naturals vibrantly smooth shampoo 591,1.0,0.012953367875647668,1.0
Karatcraft Crisanta Yellow Gold Diamond 18 K Ring,rings,1.0,0.008635578583765112,1.0
Faith Formal Slip On Shoes,formal shoes,1.0,0.11363636363636363,1.0
Aavaya Fashion Floral Print Women's Regular Skirt,shirts,1.0,0.004105090311986864,1.0
Rockmantra Sicky Frood Ceramic Mug,coffee mugs,1.0,0.02512562814070352,1.0
Raymond Abstract Double Blanket Blue,blankets quilts dohars,1.0,0.03424657534246575,1.0
Hi Look Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Yepme Slip On Shoes,formal shoes,1.0,0.11363636363636363,1.0
"Cotab R2  360 Degree rotatable Ring stand holder for all smartphones , Tablets & iPhones Mobile Holder Mobile Holder",r2 360 degree rotatable ring stand holder,1.0,0.005720823798627002,1.0
Kiara Jewellery KIR0344 Silver Cubic Zirconia Rhodium Ring,rings,1.0,0.008635578583765112,1.0
